RNA_Spot_ID,Y,X
1164,1127,1711
1165,1128,477
1166,1128,717
1167,1128,1269
1168,1130,1374
1169,1130,1602
1170,1131,582
1171,1131,1205
1172,1132,1218
1173,1132,1246
1174,1132,1343
1175,1132,1482
1176,1133,1176
1177,1134,1571
1178,1135,779
1179,1136,1727
1180,1139,657
1181,1139,1313
1182,1139,1757
1183,1140,1424
1184,1140,1469
1185,1141,1587
1186,1142,1402
1187,1142,1682
1188,1143,572
1189,1143,1455
1190,1145,625
1191,1146,1389
1192,1147,1192
1193,1147,1607
1194,1148,1777
1195,1150,639
1196,1151,613
1197,1151,1729
1198,1153,1340
1199,1154,1021
1200,1154,1242
1201,1154,1266
1202,1154,1637
1203,1155,1470
1204,1157,695
1205,1157,1284
1206,1157,1330
1207,1157,1364
1208,1157,1507
1209,1157,1658
1210,1157,1819
1211,1160,1223
1212,1160,1705
1213,1161,1517
1214,1162,1405
1215,1162,1495
1216,1163,1774
1217,1164,986
1218,1164,1213
1219,1164,1613
1220,1165,708
1221,1165,1747
1222,1168,1130
1223,1169,1308
1224,1169,1640
1225,1170,774
1226,1170,1441
1227,1170,1508
1228,1172,1689
1229,1172,1733
1230,1173,1707
1231,1174,1374
1232,1174,1522
1233,1175,1337
1234,1175,1423
1235,1175,1598
1236,1176,1075
1237,1176,1354
1238,1177,1013
1239,1177,1165
1240,1177,1283
1241,1177,1842
1242,1178,1239
1243,1178,1480
1244,1178,1857
1245,1179,535
1246,1182,1541
1247,1182,1569
1248,1185,905
1249,1184,1554
1250,1184,1590
1251,1184,1707
1252,1185,1112
1253,1185,1634
1254,1185,1818
1255,1186,933
1256,1186,1043
1257,1186,1122
1258,1186,1171
1259,1187,983
1260,1187,1335
1261,1187,1392
1262,1187,1419
1263,1188,616
1264,1188,887
1265,1188,1185
1266,1188,1727
1267,1189,640
1268,1189,1617
1269,1189,1832
1270,1190,1292
1271,1190,1510
1272,1190,1687
1273,1192,1448
1274,1192,1468
1275,1193,948
1276,1194,1324
1277,1195,1073
1278,1195,1668
1279,1196,1459
1280,1197,920
1281,1197,1093
1282,1197,1133
1283,1197,1747
1284,1198,1009
1285,1198,1368
1286,1198,1786
1287,1199,1216
1288,1199,1278
1289,1200,891
1290,1200,1347
1291,1200,1435
1292,1201,1568
1293,1201,1606
1294,1202,1836
1295,1203,1554
1296,1203,1677
1297,1204,1050
1298,1204,1310
1299,1204,1699
1300,1205,1850
1301,1206,1103
1302,1206,1290
